Designator,Mid X,Mid Y,Rotation,Layer
B101,119.1,-79.8,0.0,top
C101,113.4,-79.8,180.0,bottom
D101,117.0375,-75.2,0.0,bottom
J101,123.95,-79.8,270.0,bottom
R101,113.4875,-75.4,0.0,bottom
R102,115.8,-77.3,270.0,bottom
U101,113.4,-79.8,0.0,top
