Designator,Footprint,Quantity,Value,LCSC Part #
C101,C_Axial_L3.8mm_D2.6mm_P7.50mm_Horizontal,1,0.1uF,
J101,JST_XH_S3B-XH-A-1_1x03_P2.50mm_Horizontal,1,OUT,
R101,R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,1,100Ω,
RPR-220,Everlight_ITR8307F43,1,RPR-220,
