Designator,Mid X,Mid Y,Rotation,Layer
0.1UF,152.2,-90.0,90.0,bottom
J101,166.624,-89.7,270.0,bottom
R101,153.924,-84.8,180.0,bottom
RPR-220,148.198,-89.948,0.0,top
